id;name_event;description;begin_date;end_date
1;Bacon e-commerce project;Officer Credit Card Account Sleek;2020-01-21T04:49:26;2020-01-20T23:10:49
2;Producer;Handcrafted Wooden Cheese override synthesizing;2020-01-21T11:13:47;2020-01-21T08:59:14
3;invoice;HDD Avon Car;2020-01-20T23:50:54;2020-01-21T09:01:25
4;Bedfordshire lime Strategist;Chad withdrawal;2020-01-20T16:49:31;2020-01-20T18:27:44
5;Global Analyst calculating;integrate;2020-01-21T06:44:30;2020-01-20T13:09:39
6;violet front-end green;Associate Berkshire Pizza;2020-01-20T17:20:44;2020-01-20T16:41:34
7;matrix Ergonomic;Liaison;2020-01-20T23:32:35;2020-01-20T16:14:39
8;Designer SQL;portal Tasty Granite Cheese;2020-01-21T00:39:34;2020-01-20T15:52:29
9;clicks-and-mortar transmit;primary auxiliary Mountains;2020-01-21T01:34:48;2020-01-21T12:06:31
10;orchid Identity;protocol data-warehouse navigating;2020-01-20T14:45:43;2020-01-20T18:56:45
